"TargetModule","Coverage"
"main","1.0"
"main","1.0"
"main","1.0"
"main","1.0"
"main","1.0"
"src.data_structures","1.0"
"src.algorithms","0.7777777777777778"
"src.algorithms","0.8518518518518519"
"src.inventory","1.0"
"src.algorithms","1.0"
"src.algorithms","1.0"
"src.inventory","1.0"
"src.data_structures","1.0"
"src.algorithms","1.0"
"src.inventory","1.0"
"src.data_structures","1.0"
"src.algorithms","1.0"
"src.inventory","1.0"
"src.data_structures","1.0"
"src.algorithms","1.0"
"src.data_structures","1.0"
"src.algorithms","1.0"
"src.data_structures","1.0"
"src.inventory","1.0"
